IN09_SMSA,MSA_Codebook,MSA,IN85_HUDMED,IN87_HUDMED,IN89_HUDMED,IN91_HUDMED,IN93_HUDMED,IN95_HUDMED,IN97_HUDMED,IN99_HUDMED,IN01_HUDMED,IN03_HUDMED,IN05_HUDMED,IN07_HUDMED,IN09_HUDMED
1640,"1640 Cincinnati, OH-KY-IN",1640,28900,32000,35500,40400,42400,44800,48400,54800,60500,64000,64450,63600,69200
1680,"1680 Cleveland, OH",1680,30150,32500,36700,38100,42300,42900,46900,52600,57000,59900,60200,58600,62466.67
1720,"1720 Colorado Springs, CO",1720,25200,28400,31900,34100,39100,40200,45300,48000,53600,59700,63400,65500,70800
1760,"1760 Columbia, SC",1760,27350,31000,36600,39700,40000,40500,44300,49400,53200,60600,60600,58200,62100
1840,"1840 Columbus, OH",1840,28000,31200,34900,38700,42000,44100,48100,53800,59900,63800,64000,64200,68600
1880,"1880 Corpus Christi, TX",1880,26200,28300,30600,32300,32800,34200,37800,40600,42300,45700,47000,45800,50200
1920,"1920 Dallas, TX",1920,31350,35600,39700,43900,45500,47000,52300,58200,64400,65000,65100,62200,67600
1960,"1960 Davenport-Rock Island-Moline, IA-IL",1960,31000,31200,34100,38400,38800,39800,43600,47900,52700,55600,57950,57200,61600
2020,"2020 Daytona Beach, FL",2020,21050,23700,27000,31000,33100,33900,37400,41700,44400,46600,48650,50900,55900
2080,"2080 Denver, CO",2080,32100,35900,39500,41900,46400,48600,54900,58600,64400,68000,71650,71400,76000
2120,"2120 Des Moines, IA",2120,30100,33400,35400,40700,42700,44400,50600,55300,64600,63900,68050,67700,71700
2160,"2160 Detroit, MI",2160,32500,35500,39900,44600,46700,47000,53300,60500,66500,66700,67800,67033.33,70883.33
2240,"2240 Duluth, MN-WI",2240,26650,27000,27600,31800,35000,36300,40600,43800,49800,52100,54600,55500,59900
2320,"2320 El Paso, TX",2320,20900,23000,25100,26400,27700,28200,31100,34100,36200,37000,38250,36500,39700
2360,"2360 Erie, PA",2360,27450,29400,33000,35500,35700,35700,42600,40400,42200,50600,52100,53900,56800
2400,"2400 Eugene-Springfield, OR",2400,24900,27300,29900,32200,33900,34800,37700,41200,43400,50900,54300,52200,57200
2440,"2440 Evansville, IN-KY",2440,27500,30600,33700,37800,38200,39600,41900,47000,52400,55400,56600,56900,60900
2640,"2640 Flint, MI",2640,31550,35000,41800,41800,41900,43400,48100,50900,52700,55200,57000,57200,58500
2680,"2680 Fort Lauderdale-Hollywood, FL",2680,27650,32000,36400,42200,41100,43100,47700,53200,56900,56400,58100,58400,65400
2700,"2700 Fort Myers-Cape Coral, FL",2700,23600,27200,30300,34200,36100,37500,41100,45700,49000,51700,54100,54700,60700
2760,"2760 Fort Wayne, IN",2760,29000,30800,34600,40100,42500,42500,46000,51900,56400,58500,59400,58150,61483.33
2800,"2800 Fort Worth-Arlington, TX",2800,30150,33200,36400,38900,43300,46100,50400,55300,60100,60300,62700,59775,65225
2840,"2840 Fresno, CA",2840,24350,27600,30600,33400,33000,34600,35600,37200,39700,41700,45900,49950,52850
2960,"2960 Gary-Hammond, IN",2960,32900,32900,35800,39000,42100,42800,46400,52400,55800,60300,60450,60100,64600
3000,"3000 Grand Rapids, MI",3000,29350,32400,35700,40300,44000,44000,47400,53800,58500,60900,62050,59525,62550
3120,"3120 Greensboro-Winston Salem-High Point, NC",3120,26300,30200,33200,36600,39300,38800,43500,49300,53100,55500,55500,54137.5,58212.5
3160,"3160 Greenville-Spartanburg, SC",3160,25650,28100,30200,33900,37100,37500,39600,47200,50400,54900,54900,50140,54200
3280,"3280 Hartford, CT",3280,34250,38800,45500,49300,51900,52500,58900,59600,64900,73000,75350,79424.14,84596.55
3320,"3320 Honolulu, HI",3320,31300,34100,39100,43700,49900,53600,57900,60400,62400,65200,67750,73500,79300
3360,"3360 Houston, TX",3360,34900,38300,41000,42400,42500,45300,49100,54100,58500,59100,61000,57300,63800
3480,"3480 Indianapolis, IN",3480,29650,31800,35100,39600,42800,44400,48800,54600,60700,62900,63800,62766.67,66833.33
3560,"3560 Jackson, MS",3560,25150,26900,29600,32100,34700,35900,41000,46600,52200,50600,50600,53400,56700
